max_depth,max_features,min_samples_leaf,min_samples_split,acc,bal_acc,f1,precision,generalization_score,time_init,time_final,score
5.0,1.0,15.0,20.0,0.7786666666666666,0.6225146198830409,0.6371273663601247,0.6896413655788656,0.7786666666666666,1746962034.7605846,1746962034.7727754,0.7829596412556054
8.0,0.0,1.0,3.0,0.7786666666666666,0.6187134502923977,0.6332462987368424,0.6905895493395493,0.7786666666666666,1746962094.1928391,1746962094.2052577,0.820627802690583
3.0,1.0,15.0,50.0,0.7626666666666666,0.581578947368421,0.5858245389060609,0.646876705384168,0.7626666666666666,1746962139.2300076,1746962139.2420998,0.7856502242152466
8.0,0.0,15.0,3.0,0.768,0.5888888888888889,0.596116600239524,0.6620907009778826,0.768,1746962188.4456139,1746962188.4577692,0.7856502242152467
5.0,0.0,1.0,2.0,0.7706666666666667,0.5830409356725146,0.5866200195956872,0.6694532063726996,0.7706666666666667,1746962254.5431716,1746962254.555471,0.7946188340807174
8.0,1.0,3.0,80.0,0.7813333333333334,0.6242690058479532,0.6396343000945675,0.6965877525252524,0.7813333333333334,1746962306.633606,1746962306.6463485,0.7856502242152467
13.0,1.0,11.0,3.0,0.7866666666666666,0.631578947368421,0.6484165014997196,0.7081262140637141,0.7866666666666666,1746962356.3066816,1746962356.3190439,0.7883408071748879
13.0,0.0,3.0,80.0,0.76,0.5532163742690058,0.5432673427752676,0.6407142165516323,0.76,1746962417.5192976,1746962417.5313716,0.7802690582959642
3.0,0.0,3.0,5.0,0.7546666666666667,0.5192982456140351,0.48513060869407604,0.5869834884497243,0.7546666666666667,1746962465.736245,1746962465.74907,0.7730941704035874
3.0,1.0,1.0,3.0,0.7626666666666666,0.581578947368421,0.5858245389060609,0.646876705384168,0.7626666666666666,1746962517.5353467,1746962517.5473754,0.7892376681614349
5.0,0.0,11.0,3.0,0.7626666666666666,0.5777777777777777,0.5812725732987227,0.6472545556177268,0.7626666666666666,1746962582.2696674,1746962582.2823443,0.7901345291479821
8.0,1.0,1.0,80.0,0.7813333333333334,0.6242690058479532,0.6396343000945675,0.6965877525252524,0.7813333333333334,1746962629.6614563,1746962629.6734998,0.7865470852017937
13.0,1.0,1.0,3.0,0.736,0.5868421052631578,0.5934309207553989,0.613155303477884,0.736,1746962698.9367468,1746962698.9488776,0.8421524663677129
13.0,0.0,7.0,20.0,0.7733333333333334,0.6038011695906433,0.6152831515013042,0.6787224540165716,0.7733333333333334,1746962750.626998,1746962750.6393824,0.7946188340807175
8.0,0.0,1.0,80.0,0.768,0.5660818713450293,0.5628619889273382,0.6798853544903759,0.768,1746962788.5675144,1746962788.5795336,0.7811659192825112
3.0,1.0,5.0,5.0,0.7626666666666666,0.581578947368421,0.5858245389060609,0.646876705384168,0.7626666666666666,1746962825.0150275,1746962825.0270596,0.7883408071748879
13.0,0.0,7.0,50.0,0.7653333333333333,0.57953216374269,0.5839097762100406,0.6562567498920897,0.7653333333333333,1746962863.7658074,1746962863.777843,0.7910313901345292
1.0,1.0,3.0,2.0,0.76,0.5,0.4318181818181818,0.38,0.76,1746962913.523592,1746962913.5357296,0.7623318385650224
8.0,0.0,11.0,2.0,0.768,0.5926900584795322,0.6010709472824627,0.6647488260531738,0.768,1746962956.8176723,1746962956.8302715,0.7901345291479821
13.0,1.0,7.0,3.0,0.784,0.6260233918128655,0.6418900115665922,0.7024463383838384,0.784,1746963016.4295256,1746963016.441612,0.7883408071748879
13.0,0.0,5.0,3.0,0.784,0.6222222222222222,0.6381873536299766,0.7069263089851324,0.784,1746963066.0507472,1746963066.0626142,0.7991031390134529
13.0,1.0,1.0,5.0,0.752,0.5973684210526315,0.6056303262486069,0.6372559521534932,0.752,1746963105.0292768,1746963105.0414221,0.8269058295964126
5.0,1.0,7.0,50.0,0.7786666666666668,0.6187134502923977,0.6328565878990222,0.6898200757575756,0.7786666666666668,1746963162.3113132,1746963162.323496,0.788340807174888
3.0,0.0,15.0,3.0,0.7546666666666666,0.5269005847953216,0.49844472220286173,0.594747660867007,0.7546666666666666,1746963209.7918363,1746963209.8038838,0.768609865470852
32.0,0.0,15.0,3.0,0.7706666666666666,0.5944444444444444,0.6038644910583826,0.6721606244696675,0.7706666666666666,1746963252.3973095,1746963252.4095042,0.7856502242152467
1.0,1.0,11.0,5.0,0.76,0.5,0.4318181818181818,0.38,0.76,1746963291.573465,1746963291.5857437,0.7623318385650224
8.0,1.0,3.0,5.0,0.7733333333333333,0.6114035087719298,0.6236674157660217,0.6797550154033363,0.7733333333333333,1746963348.6843581,1746963348.6963944,0.8098654708520179
5.0,1.0,3.0,2.0,0.776,0.6093567251461988,0.6203549747876531,0.6822223594642072,0.776,1746963431.0804396,1746963431.0925896,0.7946188340807174
1.0,0.0,3.0,2.0,0.76,0.5,0.4318181818181818,0.38,0.76,1746963478.1371465,1746963478.1492746,0.7623318385650224
13.0,1.0,5.0,50.0,0.7813333333333334,0.6242690058479532,0.6396343000945675,0.6965877525252524,0.7813333333333334,1746963535.69782,1746963535.7101305,0.7883408071748879
13.0,0.0,1.0,3.0,0.7546666666666667,0.5953216374269006,0.6035543107212321,0.6404287515762925,0.7546666666666667,1746963608.2323732,1746963608.2449186,0.8403587443946188
3.0,0.0,3.0,2.0,0.7546666666666667,0.5192982456140351,0.48513060869407604,0.5869834884497243,0.7546666666666667,1746963678.5127213,1746963678.5391254,0.7730941704035874
